variable,model,date,scenario,season,value
tas,UKESM1-0-LL_r1i1p1f2,2021,ssp126,year,2.4392641649999995
tas,UKESM1-0-LL_r1i1p1f2,2021,ssp126,DecFeb,2.2394800779999997
tas,UKESM1-0-LL_r1i1p1f2,2021,ssp126,MarMay,2.4779231850000003
tas,UKESM1-0-LL_r1i1p1f2,2021,ssp126,JunAug,2.63762656
tas,UKESM1-0-LL_r1i1p1f2,2021,ssp126,SepNov,2.3386564720000003
tas,UKESM1-0-LL_r1i1p1f2,2021,ssp245,year,2.45728331
tas,UKESM1-0-LL_r1i1p1f2,2021,ssp245,DecFeb,2.777030639
tas,UKESM1-0-LL_r1i1p1f2,2021,ssp245,MarMay,1.9776808056530002
tas,UKESM1-0-LL_r1i1p1f2,2021,ssp245,JunAug,3.1112212849999996
tas,UKESM1-0-LL_r1i1p1f2,2021,ssp245,SepNov,1.9598854229499998
tas,UKESM1-0-LL_r1i1p1f2,2021,ssp370,year,2.8398090765000004
tas,UKESM1-0-LL_r1i1p1f2,2021,ssp370,DecFeb,3.2397477434999997
tas,UKESM1-0-LL_r1i1p1f2,2021,ssp370,MarMay,2.466751565
tas,UKESM1-0-LL_r1i1p1f2,2021,ssp370,JunAug,2.972954735
tas,UKESM1-0-LL_r1i1p1f2,2021,ssp370,SepNov,2.3935395799999997
tas,UKESM1-0-LL_r1i1p1f2,2021,ssp585,year,2.61378999
tas,UKESM1-0-LL_r1i1p1f2,2021,ssp585,DecFeb,2.1916713829999996
tas,UKESM1-0-LL_r1i1p1f2,2021,ssp585,MarMay,2.1943411615000006
tas,UKESM1-0-LL_r1i1p1f2,2021,ssp585,JunAug,3.32378758
tas,UKESM1-0-LL_r1i1p1f2,2021,ssp585,SepNov,2.541386082
tas,UKESM1-0-LL_r1i1p1f2,2041,ssp126,year,3.0536286500000003
tas,UKESM1-0-LL_r1i1p1f2,2041,ssp126,DecFeb,2.634815205
tas,UKESM1-0-LL_r1i1p1f2,2041,ssp126,MarMay,2.5649462954999995
tas,UKESM1-0-LL_r1i1p1f2,2041,ssp126,JunAug,3.9373131999999997
tas,UKESM1-0-LL_r1i1p1f2,2041,ssp126,SepNov,2.8117005850000005
tas,UKESM1-0-LL_r1i1p1f2,2041,ssp245,year,3.7490673
tas,UKESM1-0-LL_r1i1p1f2,2041,ssp245,DecFeb,3.598050783
tas,UKESM1-0-LL_r1i1p1f2,2041,ssp245,MarMay,3.2690686839999996
tas,UKESM1-0-LL_r1i1p1f2,2041,ssp245,JunAug,4.535213605000001
tas,UKESM1-0-LL_r1i1p1f2,2041,ssp245,SepNov,3.3968275849999996
tas,UKESM1-0-LL_r1i1p1f2,2041,ssp370,year,4.168336225
tas,UKESM1-0-LL_r1i1p1f2,2041,ssp370,DecFeb,4.029430049999999
tas,UKESM1-0-LL_r1i1p1f2,2041,ssp370,MarMay,3.8508027599999997
tas,UKESM1-0-LL_r1i1p1f2,2041,ssp370,JunAug,5.076387325000002
tas,UKESM1-0-LL_r1i1p1f2,2041,ssp370,SepNov,3.714975952999999
tas,UKESM1-0-LL_r1i1p1f2,2041,ssp585,year,4.767075360000001
tas,UKESM1-0-LL_r1i1p1f2,2041,ssp585,DecFeb,4.949623784999999
tas,UKESM1-0-LL_r1i1p1f2,2041,ssp585,MarMay,3.8613330699999997
tas,UKESM1-0-LL_r1i1p1f2,2041,ssp585,JunAug,5.80334985
tas,UKESM1-0-LL_r1i1p1f2,2041,ssp585,SepNov,4.5053311250000005
tas,UKESM1-0-LL_r1i1p1f2,2081,ssp126,year,3.8344089099999996
tas,UKESM1-0-LL_r1i1p1f2,2081,ssp126,DecFeb,4.10631212631579
tas,UKESM1-0-LL_r1i1p1f2,2081,ssp126,MarMay,3.367003955
tas,UKESM1-0-LL_r1i1p1f2,2081,ssp126,JunAug,4.375773605000001
tas,UKESM1-0-LL_r1i1p1f2,2081,ssp126,SepNov,3.3259896700000007
tas,UKESM1-0-LL_r1i1p1f2,2081,ssp245,year,5.7136971149999995
tas,UKESM1-0-LL_r1i1p1f2,2081,ssp245,DecFeb,5.441074078947369
tas,UKESM1-0-LL_r1i1p1f2,2081,ssp245,MarMay,5.01004422
tas,UKESM1-0-LL_r1i1p1f2,2081,ssp245,JunAug,7.030271554999999
tas,UKESM1-0-LL_r1i1p1f2,2081,ssp245,SepNov,5.29843323
tas,UKESM1-0-LL_r1i1p1f2,2081,ssp370,year,7.973698095000001
tas,UKESM1-0-LL_r1i1p1f2,2081,ssp370,DecFeb,8.58921842105263
tas,UKESM1-0-LL_r1i1p1f2,2081,ssp370,MarMay,6.795733044999999
tas,UKESM1-0-LL_r1i1p1f2,2081,ssp370,JunAug,8.895525860000001
tas,UKESM1-0-LL_r1i1p1f2,2081,ssp370,SepNov,7.520890695
tas,UKESM1-0-LL_r1i1p1f2,2081,ssp585,year,9.447667465
tas,UKESM1-0-LL_r1i1p1f2,2081,ssp585,DecFeb,9.866552057894737
