variable,model,date,scenario,season,value
tas,MOHC-HadGEM2-ES_r1i1p1_SMHI-RCA4_v1,2021,rcp85,SepNov,2.407871675
tas,MOHC-HadGEM2-ES_r1i1p1_SMHI-RCA4_v1,2041,rcp26,year,2.353546093
tas,MOHC-HadGEM2-ES_r1i1p1_SMHI-RCA4_v1,2041,rcp26,DecFeb,2.6533967455000003
tas,MOHC-HadGEM2-ES_r1i1p1_SMHI-RCA4_v1,2041,rcp26,MarMay,2.2213212570000005
tas,MOHC-HadGEM2-ES_r1i1p1_SMHI-RCA4_v1,2041,rcp26,JunAug,2.2447364101500002
tas,MOHC-HadGEM2-ES_r1i1p1_SMHI-RCA4_v1,2041,rcp26,SepNov,2.5420866149999997
tas,MOHC-HadGEM2-ES_r1i1p1_SMHI-RCA4_v1,2041,rcp45,year,3.1904548099999994
tas,MOHC-HadGEM2-ES_r1i1p1_SMHI-RCA4_v1,2041,rcp45,DecFeb,4.383880154999999
tas,MOHC-HadGEM2-ES_r1i1p1_SMHI-RCA4_v1,2041,rcp45,MarMay,3.1914366400000005
tas,MOHC-HadGEM2-ES_r1i1p1_SMHI-RCA4_v1,2041,rcp45,JunAug,2.5548266575000005
tas,MOHC-HadGEM2-ES_r1i1p1_SMHI-RCA4_v1,2041,rcp45,SepNov,2.9324944835
tas,MOHC-HadGEM2-ES_r1i1p1_SMHI-RCA4_v1,2041,rcp85,year,3.6855380949999996
tas,MOHC-HadGEM2-ES_r1i1p1_SMHI-RCA4_v1,2041,rcp85,DecFeb,4.713159785
tas,MOHC-HadGEM2-ES_r1i1p1_SMHI-RCA4_v1,2041,rcp85,MarMay,3.2633844605
tas,MOHC-HadGEM2-ES_r1i1p1_SMHI-RCA4_v1,2041,rcp85,JunAug,3.2228253050000006
tas,MOHC-HadGEM2-ES_r1i1p1_SMHI-RCA4_v1,2041,rcp85,SepNov,3.5732775950000004
tas,MOHC-HadGEM2-ES_r1i1p1_SMHI-RCA4_v1,2081,rcp26,year,2.408806089473684
tas,MOHC-HadGEM2-ES_r1i1p1_SMHI-RCA4_v1,2081,rcp26,DecFeb,3.0289747744444444
tas,MOHC-HadGEM2-ES_r1i1p1_SMHI-RCA4_v1,2081,rcp26,MarMay,2.2819494321052636
tas,MOHC-HadGEM2-ES_r1i1p1_SMHI-RCA4_v1,2081,rcp26,JunAug,2.1795646615789472
tas,MOHC-HadGEM2-ES_r1i1p1_SMHI-RCA4_v1,2081,rcp26,SepNov,2.4313948910526317
tas,MOHC-HadGEM2-ES_r1i1p1_SMHI-RCA4_v1,2081,rcp45,year,3.908758161111112
tas,MOHC-HadGEM2-ES_r1i1p1_SMHI-RCA4_v1,2081,rcp45,DecFeb,4.437254391666667
tas,MOHC-HadGEM2-ES_r1i1p1_SMHI-RCA4_v1,2081,rcp45,MarMay,3.8358055315789468
tas,MOHC-HadGEM2-ES_r1i1p1_SMHI-RCA4_v1,2081,rcp45,JunAug,3.9599938842105256
tas,MOHC-HadGEM2-ES_r1i1p1_SMHI-RCA4_v1,2081,rcp45,SepNov,3.8202979263157895
tas,MOHC-HadGEM2-ES_r1i1p1_SMHI-RCA4_v1,2081,rcp85,year,6.665218021052631
tas,MOHC-HadGEM2-ES_r1i1p1_SMHI-RCA4_v1,2081,rcp85,DecFeb,7.456105011111112
tas,MOHC-HadGEM2-ES_r1i1p1_SMHI-RCA4_v1,2081,rcp85,MarMay,6.502279805263157
tas,MOHC-HadGEM2-ES_r1i1p1_SMHI-RCA4_v1,2081,rcp85,JunAug,6.828109426315788
tas,MOHC-HadGEM2-ES_r1i1p1_SMHI-RCA4_v1,2081,rcp85,SepNov,6.076672347368421
tas,ICHEC-EC-EARTH_r12i1p1_KNMI-RACMO22E_v1,2021,rcp26,year,1.4849032134999998
tas,ICHEC-EC-EARTH_r12i1p1_KNMI-RACMO22E_v1,2021,rcp26,DecFeb,1.9068002495000003
tas,ICHEC-EC-EARTH_r12i1p1_KNMI-RACMO22E_v1,2021,rcp26,MarMay,1.0460586540349999
tas,ICHEC-EC-EARTH_r12i1p1_KNMI-RACMO22E_v1,2021,rcp26,JunAug,0.8547145565
tas,ICHEC-EC-EARTH_r12i1p1_KNMI-RACMO22E_v1,2021,rcp26,SepNov,2.1279451050000002
tas,ICHEC-EC-EARTH_r12i1p1_KNMI-RACMO22E_v1,2021,rcp45,year,1.9524217399999997
