variable,model,date,scenario,season,value
tas,UKESM1-0-LL_r1i1p1f2,2021,ssp126,year,2.06228916
tas,UKESM1-0-LL_r1i1p1f2,2021,ssp126,DecFeb,1.7651415135000001
tas,UKESM1-0-LL_r1i1p1f2,2021,ssp126,MarMay,1.9038604055000001
tas,UKESM1-0-LL_r1i1p1f2,2021,ssp126,JunAug,2.4120158500000004
tas,UKESM1-0-LL_r1i1p1f2,2021,ssp126,SepNov,2.151733814999999
tas,UKESM1-0-LL_r1i1p1f2,2021,ssp245,year,2.02308601
tas,UKESM1-0-LL_r1i1p1f2,2021,ssp245,DecFeb,1.7629504700000003
tas,UKESM1-0-LL_r1i1p1f2,2021,ssp245,MarMay,1.7276786095000003
tas,UKESM1-0-LL_r1i1p1f2,2021,ssp245,JunAug,2.5415763350000002
tas,UKESM1-0-LL_r1i1p1f2,2021,ssp245,SepNov,2.0255606750000004
tas,UKESM1-0-LL_r1i1p1f2,2021,ssp370,year,2.1646026399999996
tas,UKESM1-0-LL_r1i1p1f2,2021,ssp370,DecFeb,2.0264914000000003
tas,UKESM1-0-LL_r1i1p1f2,2021,ssp370,MarMay,1.9025618349999998
tas,UKESM1-0-LL_r1i1p1f2,2021,ssp370,JunAug,2.571033895
tas,UKESM1-0-LL_r1i1p1f2,2021,ssp370,SepNov,2.1563474385
tas,UKESM1-0-LL_r1i1p1f2,2021,ssp585,year,2.192325145
tas,UKESM1-0-LL_r1i1p1f2,2021,ssp585,DecFeb,1.7154490299999998
tas,UKESM1-0-LL_r1i1p1f2,2021,ssp585,MarMay,2.0170965450000002
tas,UKESM1-0-LL_r1i1p1f2,2021,ssp585,JunAug,2.657450425
tas,UKESM1-0-LL_r1i1p1f2,2021,ssp585,SepNov,2.4201482400000005
tas,UKESM1-0-LL_r1i1p1f2,2041,ssp126,year,2.54833259
tas,UKESM1-0-LL_r1i1p1f2,2041,ssp126,DecFeb,1.9620486279999998
tas,UKESM1-0-LL_r1i1p1f2,2041,ssp126,MarMay,2.39093761
tas,UKESM1-0-LL_r1i1p1f2,2041,ssp126,JunAug,3.1257750050000004
tas,UKESM1-0-LL_r1i1p1f2,2041,ssp126,SepNov,2.783891395
tas,UKESM1-0-LL_r1i1p1f2,2041,ssp245,year,3.103014
tas,UKESM1-0-LL_r1i1p1f2,2041,ssp245,DecFeb,2.8792843899999996
tas,UKESM1-0-LL_r1i1p1f2,2041,ssp245,MarMay,2.75009703
tas,UKESM1-0-LL_r1i1p1f2,2041,ssp245,JunAug,3.624599
tas,UKESM1-0-LL_r1i1p1f2,2041,ssp245,SepNov,3.16659864
tas,UKESM1-0-LL_r1i1p1f2,2041,ssp370,year,3.432603455000001
tas,UKESM1-0-LL_r1i1p1f2,2041,ssp370,DecFeb,3.0101193899999994
tas,UKESM1-0-LL_r1i1p1f2,2041,ssp370,MarMay,3.1438686700000007
tas,UKESM1-0-LL_r1i1p1f2,2041,ssp370,JunAug,4.113154225
tas,UKESM1-0-LL_r1i1p1f2,2041,ssp370,SepNov,3.5349971800000004
tas,UKESM1-0-LL_r1i1p1f2,2041,ssp585,year,3.8345907099999996
tas,UKESM1-0-LL_r1i1p1f2,2041,ssp585,DecFeb,3.203452075
tas,UKESM1-0-LL_r1i1p1f2,2041,ssp585,MarMay,3.3896314500000004
tas,UKESM1-0-LL_r1i1p1f2,2041,ssp585,JunAug,4.818329015
tas,UKESM1-0-LL_r1i1p1f2,2041,ssp585,SepNov,3.9714313750000003
tas,UKESM1-0-LL_r1i1p1f2,2081,ssp126,year,3.089564095
tas,UKESM1-0-LL_r1i1p1f2,2081,ssp126,DecFeb,2.8361807178947367
tas,UKESM1-0-LL_r1i1p1f2,2081,ssp126,MarMay,2.743597085
tas,UKESM1-0-LL_r1i1p1f2,2081,ssp126,JunAug,3.5469943300000004
tas,UKESM1-0-LL_r1i1p1f2,2081,ssp126,SepNov,3.150053895
tas,UKESM1-0-LL_r1i1p1f2,2081,ssp245,year,4.630568805000001
tas,UKESM1-0-LL_r1i1p1f2,2081,ssp245,DecFeb,3.9984506210526316
tas,UKESM1-0-LL_r1i1p1f2,2081,ssp245,MarMay,4.29584399
tas,UKESM1-0-LL_r1i1p1f2,2081,ssp245,JunAug,5.508909855
tas,UKESM1-0-LL_r1i1p1f2,2081,ssp245,SepNov,4.71653415
tas,UKESM1-0-LL_r1i1p1f2,2081,ssp370,year,6.386751275000001
tas,UKESM1-0-LL_r1i1p1f2,2081,ssp370,DecFeb,5.513561678947368
tas,UKESM1-0-LL_r1i1p1f2,2081,ssp370,MarMay,5.80491134
tas,UKESM1-0-LL_r1i1p1f2,2081,ssp370,JunAug,7.575520510000001
tas,UKESM1-0-LL_r1i1p1f2,2081,ssp370,SepNov,6.641158474999999
tas,UKESM1-0-LL_r1i1p1f2,2081,ssp585,year,7.756822144999999
tas,UKESM1-0-LL_r1i1p1f2,2081,ssp585,DecFeb,6.7307766052631575
tas,UKESM1-0-LL_r1i1p1f2,2081,ssp585,MarMay,7.123172509999999
tas,UKESM1-0-LL_r1i1p1f2,2081,ssp585,JunAug,9.168317000000002
tas,UKESM1-0-LL_r1i1p1f2,2081,ssp585,SepNov,8.058522364999998
tas,CNRM-ESM2-1_r1i1p1f2,2021,ssp126,year,1.5119204714999999
tas,CNRM-ESM2-1_r1i1p1f2,2021,ssp126,DecFeb,1.1750788789999997
tas,CNRM-ESM2-1_r1i1p1f2,2021,ssp126,MarMay,1.0118566685000001
tas,CNRM-ESM2-1_r1i1p1f2,2021,ssp126,JunAug,2.1804539849999998
tas,CNRM-ESM2-1_r1i1p1f2,2021,ssp126,SepNov,1.615353602
tas,CNRM-ESM2-1_r1i1p1f2,2021,ssp245,year,1.52755109
tas,CNRM-ESM2-1_r1i1p1f2,2021,ssp245,DecFeb,1.214304448
tas,CNRM-ESM2-1_r1i1p1f2,2021,ssp245,MarMay,1.181307778
tas,CNRM-ESM2-1_r1i1p1f2,2021,ssp245,JunAug,1.9999923050000004
tas,CNRM-ESM2-1_r1i1p1f2,2021,ssp245,SepNov,1.731187912
tas,CNRM-ESM2-1_r1i1p1f2,2021,ssp370,year,1.593193833
tas,CNRM-ESM2-1_r1i1p1f2,2021,ssp370,DecFeb,1.3814689509
tas,CNRM-ESM2-1_r1i1p1f2,2021,ssp370,MarMay,1.0184070605
tas,CNRM-ESM2-1_r1i1p1f2,2021,ssp370,JunAug,2.1755772029999996
tas,CNRM-ESM2-1_r1i1p1f2,2021,ssp370,SepNov,1.8303406949999999
tas,CNRM-ESM2-1_r1i1p1f2,2021,ssp585,year,1.7074071199999998
tas,CNRM-ESM2-1_r1i1p1f2,2021,ssp585,DecFeb,1.4258050675000002
tas,CNRM-ESM2-1_r1i1p1f2,2021,ssp585,MarMay,1.3902603515
tas,CNRM-ESM2-1_r1i1p1f2,2021,ssp585,JunAug,2.1810994300000006
tas,CNRM-ESM2-1_r1i1p1f2,2021,ssp585,SepNov,1.779877285
tas,CNRM-ESM2-1_r1i1p1f2,2041,ssp126,year,1.8978909949999998
tas,CNRM-ESM2-1_r1i1p1f2,2041,ssp126,DecFeb,1.4110391029999998
tas,CNRM-ESM2-1_r1i1p1f2,2041,ssp126,MarMay,1.39791967
tas,CNRM-ESM2-1_r1i1p1f2,2041,ssp126,JunAug,2.7062966199999994
tas,CNRM-ESM2-1_r1i1p1f2,2041,ssp126,SepNov,2.06827354
tas,CNRM-ESM2-1_r1i1p1f2,2041,ssp245,year,2.0461207650000004
tas,CNRM-ESM2-1_r1i1p1f2,2041,ssp245,DecFeb,1.7107498526500002
tas,CNRM-ESM2-1_r1i1p1f2,2041,ssp245,MarMay,1.565077095
tas,CNRM-ESM2-1_r1i1p1f2,2041,ssp245,JunAug,2.8637294499999997
tas,CNRM-ESM2-1_r1i1p1f2,2041,ssp245,SepNov,2.115362385
tas,CNRM-ESM2-1_r1i1p1f2,2041,ssp370,year,2.2274030500000004
tas,CNRM-ESM2-1_r1i1p1f2,2041,ssp370,DecFeb,1.6634945059999997
tas,CNRM-ESM2-1_r1i1p1f2,2041,ssp370,MarMay,1.773536828
tas,CNRM-ESM2-1_r1i1p1f2,2041,ssp370,JunAug,3.0378115350000003
tas,CNRM-ESM2-1_r1i1p1f2,2041,ssp370,SepNov,2.448464735
tas,CNRM-ESM2-1_r1i1p1f2,2041,ssp585,year,2.5189030199999998
tas,CNRM-ESM2-1_r1i1p1f2,2041,ssp585,DecFeb,1.9519004719999997
tas,CNRM-ESM2-1_r1i1p1f2,2041,ssp585,MarMay,1.9006772350000003
tas,CNRM-ESM2-1_r1i1p1f2,2041,ssp585,JunAug,3.5121394649999997
tas,CNRM-ESM2-1_r1i1p1f2,2041,ssp585,SepNov,2.774542725
tas,CNRM-ESM2-1_r1i1p1f2,2081,ssp126,year,2.069197835
tas,CNRM-ESM2-1_r1i1p1f2,2081,ssp126,DecFeb,1.4119514263157895
tas,CNRM-ESM2-1_r1i1p1f2,2081,ssp126,MarMay,1.8575257285
tas,CNRM-ESM2-1_r1i1p1f2,2081,ssp126,JunAug,2.9999661349999998
tas,CNRM-ESM2-1_r1i1p1f2,2081,ssp126,SepNov,2.0529819700000003
tas,CNRM-ESM2-1_r1i1p1f2,2081,ssp245,year,3.1401950500000004
tas,CNRM-ESM2-1_r1i1p1f2,2081,ssp245,DecFeb,2.4206554842105263
tas,CNRM-ESM2-1_r1i1p1f2,2081,ssp245,MarMay,2.4410523050000004
tas,CNRM-ESM2-1_r1i1p1f2,2081,ssp245,JunAug,4.35156381
tas,CNRM-ESM2-1_r1i1p1f2,2081,ssp245,SepNov,3.3204480899999993
tas,CNRM-ESM2-1_r1i1p1f2,2081,ssp370,year,4.658971084999999
tas,CNRM-ESM2-1_r1i1p1f2,2081,ssp370,DecFeb,3.9183131631578947
tas,CNRM-ESM2-1_r1i1p1f2,2081,ssp370,MarMay,3.7204148000000004
tas,CNRM-ESM2-1_r1i1p1f2,2081,ssp370,JunAug,6.066005344999999
tas,CNRM-ESM2-1_r1i1p1f2,2081,ssp370,SepNov,4.910275060000001
tas,CNRM-ESM2-1_r1i1p1f2,2081,ssp585,year,5.76687881
tas,CNRM-ESM2-1_r1i1p1f2,2081,ssp585,DecFeb,4.618732142105262
tas,CNRM-ESM2-1_r1i1p1f2,2081,ssp585,MarMay,4.7315696350000005
tas,CNRM-ESM2-1_r1i1p1f2,2081,ssp585,JunAug,7.62059931
tas,CNRM-ESM2-1_r1i1p1f2,2081,ssp585,SepNov,6.116299135
tas,FGOALS-g3_r1i1p1f1,2021,ssp126,year,1.5736813350000003
tas,FGOALS-g3_r1i1p1f1,2021,ssp126,DecFeb,1.6337251645
tas,FGOALS-g3_r1i1p1f1,2021,ssp126,MarMay,1.2514400950000002
tas,FGOALS-g3_r1i1p1f1,2021,ssp126,JunAug,1.7692074150000003
tas,FGOALS-g3_r1i1p1f1,2021,ssp126,SepNov,1.6584199870000003
tas,FGOALS-g3_r1i1p1f1,2021,ssp245,year,1.7928858049999998
tas,FGOALS-g3_r1i1p1f1,2021,ssp245,DecFeb,1.8428798100000001
tas,FGOALS-g3_r1i1p1f1,2021,ssp245,MarMay,1.4225074764999999
tas,FGOALS-g3_r1i1p1f1,2021,ssp245,JunAug,2.0260495899999995
tas,FGOALS-g3_r1i1p1f1,2021,ssp245,SepNov,1.9109097449999997
tas,FGOALS-g3_r1i1p1f1,2021,ssp370,year,1.8600680925000002
tas,FGOALS-g3_r1i1p1f1,2021,ssp370,DecFeb,1.788956878
tas,FGOALS-g3_r1i1p1f1,2021,ssp370,MarMay,1.7094401184999999
tas,FGOALS-g3_r1i1p1f1,2021,ssp370,JunAug,2.1609046799999994
tas,FGOALS-g3_r1i1p1f1,2021,ssp370,SepNov,1.8699954550000002
tas,FGOALS-g3_r1i1p1f1,2021,ssp585,year,1.8941590800000003
tas,FGOALS-g3_r1i1p1f1,2021,ssp585,DecFeb,2.02588425
tas,FGOALS-g3_r1i1p1f1,2021,ssp585,MarMay,1.610582233
tas,FGOALS-g3_r1i1p1f1,2021,ssp585,JunAug,2.05402129
tas,FGOALS-g3_r1i1p1f1,2021,ssp585,SepNov,1.8891513750000002
tas,FGOALS-g3_r1i1p1f1,2041,ssp126,year,1.5632522200000003
tas,FGOALS-g3_r1i1p1f1,2041,ssp126,DecFeb,1.5247836645000004
tas,FGOALS-g3_r1i1p1f1,2041,ssp126,MarMay,1.406377017
tas,FGOALS-g3_r1i1p1f1,2041,ssp126,JunAug,1.7495534799999999
tas,FGOALS-g3_r1i1p1f1,2041,ssp126,SepNov,1.553375707
tas,FGOALS-g3_r1i1p1f1,2041,ssp245,year,2.1353990499999997
tas,FGOALS-g3_r1i1p1f1,2041,ssp245,DecFeb,1.97469423
tas,FGOALS-g3_r1i1p1f1,2041,ssp245,MarMay,1.85245876
tas,FGOALS-g3_r1i1p1f1,2041,ssp245,JunAug,2.51443599
tas,FGOALS-g3_r1i1p1f1,2041,ssp245,SepNov,2.2575259
tas,FGOALS-g3_r1i1p1f1,2041,ssp370,year,2.5297509650000007
tas,FGOALS-g3_r1i1p1f1,2041,ssp370,DecFeb,2.38019689
tas,FGOALS-g3_r1i1p1f1,2041,ssp370,MarMay,2.314301155
tas,FGOALS-g3_r1i1p1f1,2041,ssp370,JunAug,2.9705862949999995
tas,FGOALS-g3_r1i1p1f1,2041,ssp370,SepNov,2.47628264
tas,FGOALS-g3_r1i1p1f1,2041,ssp585,year,2.49925649
tas,FGOALS-g3_r1i1p1f1,2041,ssp585,DecFeb,2.48989179
tas,FGOALS-g3_r1i1p1f1,2041,ssp585,MarMay,2.2306147700000003
tas,FGOALS-g3_r1i1p1f1,2041,ssp585,JunAug,2.88242704
tas,FGOALS-g3_r1i1p1f1,2041,ssp585,SepNov,2.388916755
tas,FGOALS-g3_r1i1p1f1,2081,ssp126,year,1.8300120849999995
tas,FGOALS-g3_r1i1p1f1,2081,ssp126,DecFeb,1.8791170684210527
tas,FGOALS-g3_r1i1p1f1,2081,ssp126,MarMay,1.5979149375
tas,FGOALS-g3_r1i1p1f1,2081,ssp126,JunAug,1.9036861449999996
tas,FGOALS-g3_r1i1p1f1,2081,ssp126,SepNov,1.9233627730000002
tas,FGOALS-g3_r1i1p1f1,2081,ssp245,year,2.3932588250000006
tas,FGOALS-g3_r1i1p1f1,2081,ssp245,DecFeb,2.1106688494736843
tas,FGOALS-g3_r1i1p1f1,2081,ssp245,MarMay,2.1019923225
tas,FGOALS-g3_r1i1p1f1,2081,ssp245,JunAug,2.8039757099999996
tas,FGOALS-g3_r1i1p1f1,2081,ssp245,SepNov,2.58421352
tas,FGOALS-g3_r1i1p1f1,2081,ssp370,year,3.703739715
tas,FGOALS-g3_r1i1p1f1,2081,ssp370,DecFeb,3.284644868421053
tas,FGOALS-g3_r1i1p1f1,2081,ssp370,MarMay,3.2600043649999995
tas,FGOALS-g3_r1i1p1f1,2081,ssp370,JunAug,4.364855605
tas,FGOALS-g3_r1i1p1f1,2081,ssp370,SepNov,3.9506723099999994
tas,FGOALS-g3_r1i1p1f1,2081,ssp585,year,4.0132766349999995
tas,FGOALS-g3_r1i1p1f1,2081,ssp585,DecFeb,3.6960000578947367
tas,FGOALS-g3_r1i1p1f1,2081,ssp585,MarMay,3.2860990449999994
tas,FGOALS-g3_r1i1p1f1,2081,ssp585,JunAug,4.81147186
tas,FGOALS-g3_r1i1p1f1,2081,ssp585,SepNov,4.270540285
tas,INM-CM4-8_r1i1p1f1,2021,ssp126,year,1.57937535
tas,INM-CM4-8_r1i1p1f1,2021,ssp126,DecFeb,0.961594042
tas,INM-CM4-8_r1i1p1f1,2021,ssp126,MarMay,1.6472182060000002
tas,INM-CM4-8_r1i1p1f1,2021,ssp126,JunAug,2.1554696800000004
tas,INM-CM4-8_r1i1p1f1,2021,ssp126,SepNov,1.5429015175
tas,INM-CM4-8_r1i1p1f1,2021,ssp245,year,1.65057637
tas,INM-CM4-8_r1i1p1f1,2021,ssp245,DecFeb,0.929573177
tas,INM-CM4-8_r1i1p1f1,2021,ssp245,MarMay,1.368876654
tas,INM-CM4-8_r1i1p1f1,2021,ssp245,JunAug,2.39555653
tas,INM-CM4-8_r1i1p1f1,2021,ssp245,SepNov,1.8698727899999998
tas,INM-CM4-8_r1i1p1f1,2021,ssp370,year,1.5314174
tas,INM-CM4-8_r1i1p1f1,2021,ssp370,DecFeb,1.0625775462
tas,INM-CM4-8_r1i1p1f1,2021,ssp370,MarMay,1.2546215825
tas,INM-CM4-8_r1i1p1f1,2021,ssp370,JunAug,2.1523051349999998
tas,INM-CM4-8_r1i1p1f1,2021,ssp370,SepNov,1.6316531749999998
tas,INM-CM4-8_r1i1p1f1,2021,ssp585,year,1.7288071649999999
tas,INM-CM4-8_r1i1p1f1,2021,ssp585,DecFeb,1.0829207694999998
tas,INM-CM4-8_r1i1p1f1,2021,ssp585,MarMay,1.7521720899999997
tas,INM-CM4-8_r1i1p1f1,2021,ssp585,JunAug,2.356124285
tas,INM-CM4-8_r1i1p1f1,2021,ssp585,SepNov,1.7734853299999997
tas,INM-CM4-8_r1i1p1f1,2041,ssp126,year,1.7721362150000002
tas,INM-CM4-8_r1i1p1f1,2041,ssp126,DecFeb,1.26029544485
tas,INM-CM4-8_r1i1p1f1,2041,ssp126,MarMay,1.7024682370000004
tas,INM-CM4-8_r1i1p1f1,2041,ssp126,JunAug,2.500691605
tas,INM-CM4-8_r1i1p1f1,2041,ssp126,SepNov,1.6675179850000004
tas,INM-CM4-8_r1i1p1f1,2041,ssp245,year,2.2493762349999997
tas,INM-CM4-8_r1i1p1f1,2041,ssp245,DecFeb,1.4645010749999998
tas,INM-CM4-8_r1i1p1f1,2041,ssp245,MarMay,2.1331937625
